id,order_id,shipping_date,tracking_number,carrier,status
34,83,"2025-04-02 09:54:52",TRK-20087272-tqJA,FedEx,in_transit
35,85,"2025-02-07 05:28:51",TRK-49393127-Jtfp,USPS,delivered
36,86,"2025-03-17 10:50:38",TRK-55260977-awFy,UPS,delivered
37,90,"2024-12-04 05:22:14",TRK-59806771-QkrB,FedEx,delivered
38,91,"2024-06-21 03:31:00",TRK-48972479-aJMG,FedEx,in_transit
39,92,"2024-05-22 03:57:26",TRK-36977454-Vfny,DHL,delivered
40,94,"2024-08-19 00:02:54",TRK-04665200-eEth,USPS,delivered
41,95,"2025-01-28 23:57:06",TRK-42284364-KtNW,UPS,in_transit
42,98,"2024-07-26 20:43:10",TRK-49271817-NcSW,UPS,in_transit
43,101,"2024-06-27 19:23:57",TRK-69094125-XDVO,FedEx,delivered
44,102,"2025-03-28 22:19:08",TRK-27498849-GPmf,DHL,delivered
45,104,"2024-08-03 04:53:51",TRK-12525186-fkgP,DHL,delivered
46,105,"2024-10-13 19:13:04",TRK-90108097-PsZa,FedEx,delivered
47,108,"2024-10-06 23:38:32",TRK-06251773-hZKb,UPS,in_transit
48,112,"2024-09-23 20:38:00",TRK-15207950-cTvA,FedEx,delivered
49,113,"2024-09-18 05:26:01",TRK-25176339-UoYV,USPS,in_transit
50,116,"2024-09-07 17:36:58",TRK-57578438-SOSg,DHL,in_transit
51,117,"2024-10-21 21:21:47",TRK-99608456-blmD,USPS,delivered
52,119,"2024-12-09 14:20:04",TRK-14700793-zwFl,USPS,delivered
53,123,"2024-12-06 13:20:09",TRK-46703462-qHDo,USPS,in_transit
54,127,"2024-05-07 03:43:24",TRK-02365584-ragY,USPS,delivered
55,130,"2024-12-22 21:47:20",TRK-76363161-KSfU,USPS,in_transit
56,131,"2025-03-25 03:04:02",TRK-26186328-sPbM,DHL,delivered
57,132,"2025-02-27 13:35:26",TRK-06892090-YDgn,DHL,delivered
58,133,"2024-07-22 21:22:28",TRK-02113397-xhqg,UPS,delivered
59,135,"2024-11-07 23:55:53",TRK-24896988-Rlda,FedEx,delivered
60,137,"2024-10-03 04:57:05",TRK-45464785-xGOO,USPS,in_transit
61,138,"2024-05-09 01:25:39",TRK-21463588-XdDU,USPS,in_transit
62,139,"2024-10-13 08:53:06",TRK-64357795-vluu,FedEx,delivered
63,140,"2024-07-15 19:00:34",TRK-87321936-LifN,DHL,delivered
64,146,"2024-08-16 19:42:31",TRK-90872976-HUXs,USPS,in_transit
65,148,"2024-10-01 15:49:51",TRK-33846660-oQvm,DHL,in_transit
66,149,"2024-12-25 10:47:24",TRK-83704766-lUxM,DHL,in_transit
67,150,"2024-11-02 04:13:06",TRK-27188838-AmwQ,USPS,delivered
68,153,"2024-10-20 06:05:02",TRK-81089518-JRoe,DHL,in_transit
69,156,"2025-05-04 14:38:02",TRK-51448328-ioBd,USPS,in_transit
70,162,"2025-02-21 08:25:35",TRK-60597767-ncDM,UPS,delivered
71,163,"2024-07-31 10:08:39",TRK-31918542-oYry,USPS,in_transit
72,169,"2025-01-18 19:01:13",TRK-51277135-nJPN,UPS,in_transit
73,170,"2024-11-25 16:33:16",TRK-72266009-tLgb,USPS,delivered
74,173,"2024-08-30 07:38:54",TRK-27365218-SoUw,UPS,delivered
75,177,"2024-08-15 05:02:07",TRK-12992706-iBre,USPS,in_transit
76,178,"2025-02-05 15:01:15",TRK-78486588-bcsW,DHL,delivered
77,181,"2024-10-12 05:48:48",TRK-08720861-Nkga,UPS,in_transit
78,182,"2025-02-03 10:29:27",TRK-70971308-aXzR,FedEx,in_transit
79,185,"2024-07-22 20:20:10",TRK-37981867-OYEN,UPS,delivered
80,186,"2024-10-02 06:23:30",TRK-82354473-DySq,FedEx,delivered
81,188,"2025-03-08 21:59:49",TRK-41306696-CPfr,DHL,delivered
82,189,"2024-08-31 02:39:20",TRK-32888553-rtDs,USPS,in_transit
83,190,"2024-06-21 07:23:36",TRK-71348396-puJy,USPS,in_transit
84,194,"2024-05-07 16:40:37",TRK-35051253-ArpA,UPS,delivered
85,195,"2025-01-10 15:19:04",TRK-79605405-qrjh,FedEx,delivered
86,197,"2024-05-25 22:37:32",TRK-40247362-mDtZ,UPS,in_transit
87,198,"2024-07-29 15:00:55",TRK-69111897-hfWp,FedEx,delivered
88,202,"2024-11-03 13:56:19",TRK-20984980-wMNp,UPS,in_transit
89,208,"2025-02-23 06:30:10",TRK-75188527-ISkd,DHL,in_transit
90,209,"2024-10-31 14:20:22",TRK-20544002-ddZG,UPS,in_transit
91,210,"2024-08-07 13:53:18",TRK-71103728-pxOV,UPS,in_transit
92,212,"2024-11-16 08:25:12",TRK-77950260-CMPT,DHL,in_transit
93,214,"2025-03-01 04:40:00",TRK-77646798-IxRk,USPS,in_transit
94,216,"2025-01-05 19:48:22",TRK-89983295-LZzv,DHL,in_transit
95,218,"2025-03-02 02:15:20",TRK-15886799-KzDz,FedEx,delivered
96,223,"2024-10-24 11:41:22",TRK-01378716-YqYx,USPS,delivered
97,224,"2024-07-24 16:46:18",TRK-86599497-HLhr,USPS,in_transit
98,225,"2025-01-22 14:02:50",TRK-53381106-jRIT,DHL,in_transit
99,227,"2024-12-09 18:44:27",TRK-32851420-yrKO,DHL,delivered
100,229,"2024-10-02 18:14:34",TRK-89155334-bCmO,USPS,delivered
101,231,"2024-09-04 01:58:09",TRK-81713268-mjsJ,FedEx,delivered
102,232,"2024-08-11 11:01:26",TRK-15175324-lhYd,FedEx,in_transit
103,235,"2024-11-08 02:59:19",TRK-90971055-feTO,USPS,delivered
104,237,"2025-01-24 05:10:08",TRK-31684707-dblV,UPS,delivered
105,239,"2024-10-24 04:03:21",TRK-53261597-xpFM,FedEx,delivered
106,243,"2024-12-30 14:14:45",TRK-26456055-nNmx,DHL,in_transit
107,253,"2024-07-23 22:37:21",TRK-84238842-HBbB,USPS,in_transit
108,255,"2024-07-21 04:21:18",TRK-74297643-QMJL,USPS,delivered
109,258,"2025-03-14 10:28:25",TRK-97392260-CrEc,DHL,delivered
110,259,"2025-04-11 10:47:03",TRK-62246141-eYRw,UPS,in_transit
111,264,"2024-09-09 01:13:24",TRK-50775388-LJgq,DHL,in_transit
112,267,"2024-06-18 23:55:48",TRK-75697938-GAZe,FedEx,in_transit
113,268,"2024-05-20 20:30:07",TRK-49972884-tUhm,FedEx,in_transit
114,275,"2024-08-21 22:22:52",TRK-93930681-aZRd,USPS,in_transit
115,276,"2024-05-25 02:55:34",TRK-47985822-arEE,DHL,delivered
116,280,"2024-06-29 15:50:42",TRK-83413749-tzFq,DHL,delivered
117,281,"2024-10-03 13:41:01",TRK-44745946-DmQq,UPS,delivered
118,282,"2024-12-11 19:21:51",TRK-96951866-EvRD,FedEx,delivered
119,283,"2025-03-03 20:17:47",TRK-64072040-griS,USPS,in_transit
120,287,"2025-04-02 09:55:07",TRK-64998426-VzRf,USPS,in_transit
121,288,"2024-05-23 07:05:32",TRK-04324096-kgek,DHL,delivered
122,289,"2024-07-20 20:43:02",TRK-24733051-AlKH,DHL,delivered
123,294,"2024-09-28 04:37:25",TRK-04331994-GEgt,USPS,delivered
124,299,"2025-04-16 04:42:40",TRK-32396705-ChnO,UPS,delivered
125,300,"2024-10-21 22:54:01",TRK-31386017-ICEU,USPS,in_transit
126,301,"2024-07-09 20:49:46",TRK-54854236-bAuE,UPS,in_transit
127,308,"2024-09-20 19:04:22",TRK-81005837-Kjzp,USPS,in_transit
128,311,"2024-10-24 08:58:54",TRK-74083199-HkXq,UPS,delivered
129,312,"2024-12-04 11:09:51",TRK-43667260-Jivx,FedEx,in_transit
130,317,"2025-02-14 21:19:43",TRK-00585306-paOD,USPS,in_transit
131,320,"2024-09-25 19:30:10",TRK-22844219-AvbO,USPS,in_transit
132,323,"2024-09-27 23:58:46",TRK-72195151-rCfm,DHL,delivered
133,324,"2024-05-27 20:00:04",TRK-50155402-icDH,UPS,in_transit
134,325,"2024-12-23 09:53:43",TRK-06221877-NpDE,FedEx,delivered
135,330,"2024-12-05 04:49:31",TRK-93785365-mGai,DHL,delivered
136,331,"2024-07-13 03:27:45",TRK-17282128-SuXb,USPS,in_transit
137,333,"2024-06-01 23:38:45",TRK-47396712-xBpk,UPS,in_transit
138,334,"2024-05-10 03:34:16",TRK-55480872-wwFA,FedEx,delivered
139,336,"2024-06-24 01:14:04",TRK-23886665-Pqdo,FedEx,delivered
140,337,"2024-09-12 00:34:14",TRK-68174768-ePNl,DHL,in_transit
141,339,"2024-10-27 11:47:10",TRK-61312846-dKkv,UPS,delivered
142,340,"2024-07-31 02:13:26",TRK-98792421-cBiZ,DHL,in_transit
143,344,"2024-05-27 08:51:48",TRK-96081896-pFIq,FedEx,in_transit
144,347,"2025-04-08 10:00:22",TRK-67428333-Vlgo,DHL,in_transit
145,348,"2024-08-04 10:19:03",TRK-24324289-rycq,UPS,in_transit
146,349,"2025-02-09 19:18:04",TRK-96105183-nixu,FedEx,in_transit
147,350,"2024-05-09 15:26:16",TRK-01431072-fmQe,UPS,delivered
148,351,"2025-04-21 03:10:39",TRK-52728149-JYSP,USPS,delivered
149,352,"2024-11-18 20:37:54",TRK-51697767-XTHM,UPS,delivered
150,353,"2024-10-15 08:07:58",TRK-62680999-NGTx,UPS,delivered
151,354,"2025-02-28 11:33:41",TRK-17902266-rsvb,FedEx,in_transit
152,356,"2024-12-14 22:29:36",TRK-75086084-FSgY,DHL,in_transit
153,358,"2025-05-04 18:02:04",TRK-74125723-dWrE,FedEx,delivered
154,362,"2024-06-21 20:44:23",TRK-55986637-zHDx,USPS,delivered
155,365,"2024-10-24 01:11:07",TRK-57791655-Znkt,FedEx,in_transit
156,366,"2024-06-17 02:46:31",TRK-57429703-DLEI,FedEx,in_transit
157,369,"2024-12-18 03:30:19",TRK-69825960-euGS,FedEx,in_transit
158,370,"2024-10-30 09:40:43",TRK-37160299-SQql,USPS,delivered
159,371,"2025-02-03 03:12:23",TRK-29983261-nfEt,DHL,in_transit
160,372,"2024-07-19 21:50:54",TRK-28906727-nviP,DHL,in_transit
161,374,"2024-12-28 02:42:53",TRK-22919996-AcUp,USPS,delivered
162,375,"2025-05-06 00:31:45",TRK-93180301-iMhh,DHL,delivered
163,376,"2024-05-31 22:27:57",TRK-55735024-noKy,FedEx,in_transit
164,377,"2024-07-03 01:43:09",TRK-60254681-iGcc,UPS,delivered
165,380,"2025-01-04 08:35:30",TRK-45732070-sdGO,DHL,delivered
166,382,"2025-03-29 11:05:39",TRK-49561656-jSJx,UPS,in_transit
167,388,"2024-12-02 10:01:56",TRK-29202221-ZBkK,USPS,in_transit
168,389,"2025-04-11 14:08:03",TRK-97710351-Jmuc,UPS,delivered
169,391,"2024-08-03 00:24:28",TRK-51855927-voku,USPS,delivered
170,392,"2024-10-09 13:07:40",TRK-48524921-WXnA,UPS,delivered
171,393,"2024-09-15 15:38:54",TRK-04731275-BBdi,USPS,delivered
172,399,"2024-11-27 05:04:43",TRK-79278014-bRPT,FedEx,delivered
173,404,"2024-05-25 22:16:17",TRK-88622057-fmFH,DHL,in_transit
174,405,"2025-01-01 03:42:45",TRK-43633139-HoIv,FedEx,in_transit
175,407,"2025-02-18 09:10:50",TRK-78464633-NGRS,USPS,in_transit
176,409,"2025-04-22 14:42:27",TRK-64881919-GZzn,UPS,in_transit
177,412,"2024-10-27 22:24:38",TRK-08963655-ZZmW,DHL,delivered
178,414,"2024-08-25 08:14:41",TRK-92095883-pYOB,DHL,in_transit
179,415,"2024-08-19 20:12:24",TRK-49792685-TSQf,USPS,delivered
180,419,"2024-10-20 06:42:23",TRK-80534826-XhvM,DHL,delivered
181,421,"2025-03-05 02:24:09",TRK-33435032-ElMQ,USPS,in_transit
182,426,"2024-08-01 12:38:33",TRK-43239493-LIcz,USPS,in_transit
183,429,"2024-07-25 06:48:37",TRK-26950718-qJfB,FedEx,in_transit
184,430,"2025-02-10 22:24:20",TRK-72837613-aNHn,UPS,in_transit
185,431,"2025-04-01 16:57:30",TRK-29953392-jHGg,FedEx,in_transit
186,432,"2025-01-14 12:00:30",TRK-14525295-IMbt,FedEx,delivered
187,435,"2025-03-07 11:56:34",TRK-91056481-EUkg,UPS,in_transit
188,438,"2024-07-20 00:22:06",TRK-87870773-ZoWZ,FedEx,delivered
189,445,"2024-12-06 19:22:29",TRK-24689525-YvnV,DHL,in_transit
190,446,"2024-05-13 23:59:45",TRK-01569239-IxyS,USPS,delivered
191,449,"2024-09-01 14:49:23",TRK-80093099-Tytc,UPS,delivered
192,450,"2025-03-06 09:43:41",TRK-29745099-TIpM,UPS,in_transit
193,451,"2024-10-23 17:50:48",TRK-90433256-AXCU,FedEx,delivered
194,455,"2025-04-02 13:43:00",TRK-07141446-ANVk,UPS,delivered
195,456,"2025-01-07 02:36:10",TRK-39953575-hTtw,FedEx,in_transit
196,457,"2024-12-04 00:19:48",TRK-00210351-aYKB,UPS,delivered
197,459,"2025-03-30 10:13:22",TRK-68374447-kaDD,UPS,in_transit
198,460,"2024-07-13 05:53:08",TRK-65144139-VNve,USPS,in_transit
199,464,"2025-03-25 18:38:21",TRK-95046617-heRE,USPS,delivered
200,467,"2024-09-07 16:55:56",TRK-79784028-rtuV,USPS,delivered
201,468,"2025-04-30 03:41:52",TRK-76906209-towt,USPS,in_transit
202,469,"2024-11-24 16:01:23",TRK-61877915-RQce,USPS,delivered
203,471,"2024-05-29 05:07:03",TRK-53662369-RBqh,DHL,in_transit
204,472,"2024-08-06 11:53:25",TRK-39938178-KNAY,DHL,delivered
205,473,"2024-07-29 08:01:54",TRK-53761131-Xwaf,UPS,delivered
206,474,"2025-02-15 13:16:35",TRK-64305851-FazK,DHL,delivered
207,475,"2024-06-29 10:17:16",TRK-25029796-DzXW,DHL,delivered
208,476,"2024-11-21 17:47:33",TRK-78960097-uMtU,FedEx,delivered
209,477,"2024-10-15 06:51:15",TRK-61122897-Gfyp,UPS,delivered
210,478,"2024-07-25 20:29:37",TRK-03478122-NhfA,FedEx,in_transit
211,480,"2025-04-09 14:04:28",TRK-09171824-fKJd,DHL,delivered
212,483,"2024-05-24 13:57:59",TRK-30302995-lvAd,UPS,delivered
213,486,"2024-11-06 20:54:12",TRK-07065266-iDHZ,FedEx,in_transit
214,487,"2024-10-17 06:18:41",TRK-48715063-gxmM,UPS,delivered
215,488,"2024-05-27 11:19:55",TRK-42801886-hMVV,UPS,delivered
216,490,"2024-06-16 22:48:49",TRK-91257686-mbwI,DHL,delivered
217,491,"2024-08-30 05:41:42",TRK-25320459-Bjpb,USPS,delivered
218,492,"2024-07-13 04:01:55",TRK-70474821-YIdV,FedEx,in_transit
219,496,"2024-08-09 03:29:08",TRK-19388165-WwhB,DHL,delivered
220,499,"2024-08-29 22:40:48",TRK-50137496-dEjb,USPS,in_transit
221,501,"2024-08-29 22:39:01",TRK-75121392-tkdG,FedEx,delivered
222,502,"2024-12-12 01:32:54",TRK-33209008-fbEF,DHL,in_transit
223,505,"2024-08-30 17:45:00",TRK-72823678-JIbu,USPS,in_transit
224,506,"2024-06-13 12:31:56",TRK-57544670-UZyr,USPS,in_transit
225,507,"2025-02-15 12:17:59",TRK-05498984-iiHg,UPS,in_transit
226,512,"2024-11-30 20:58:58",TRK-89929548-ttIl,FedEx,delivered
227,513,"2024-06-13 00:18:33",TRK-97371263-nrgP,USPS,in_transit
228,517,"2025-03-31 00:54:23",TRK-05410569-qldd,UPS,in_transit
229,518,"2024-07-23 14:10:32",TRK-35058845-tjaM,UPS,delivered
230,519,"2024-11-02 00:41:40",TRK-93871841-aHAF,UPS,delivered
231,520,"2024-12-14 16:39:50",TRK-87306836-WIZB,DHL,in_transit
232,523,"2024-06-04 13:35:52",TRK-62647400-iHbY,FedEx,in_transit
233,525,"2024-11-05 02:11:02",TRK-78214282-gNsZ,UPS,delivered
234,526,"2025-03-31 11:03:55",TRK-57764361-DXDW,DHL,delivered
235,528,"2025-02-26 14:06:54",TRK-33552104-YnYW,DHL,delivered
236,529,"2024-07-23 14:42:31",TRK-91155041-QqEP,UPS,delivered
237,530,"2024-05-15 03:27:29",TRK-73332006-pUud,UPS,in_transit
238,531,"2025-04-17 10:11:16",TRK-38087038-KcYC,USPS,in_transit
239,532,"2024-06-14 11:40:52",TRK-30836640-JfOY,USPS,in_transit
240,533,"2024-07-14 07:59:22",TRK-00330738-ynsr,UPS,in_transit
241,535,"2024-08-03 01:37:53",TRK-93468314-SzTJ,FedEx,in_transit
242,536,"2025-02-24 14:11:45",TRK-93348099-Pgrr,FedEx,in_transit
243,537,"2024-06-26 00:15:55",TRK-40875453-dvAI,USPS,delivered
244,550,"2024-06-09 07:18:35",TRK-63487721-qOaD,DHL,delivered
245,551,"2024-05-08 19:48:44",TRK-41525614-ICqm,USPS,in_transit
246,556,"2024-10-25 03:23:43",TRK-44344620-oXOK,UPS,delivered
247,561,"2024-06-14 01:40:57",TRK-94173375-XNFX,DHL,delivered
248,563,"2024-08-13 21:32:27",TRK-05968307-hVgs,DHL,in_transit
249,564,"2025-04-09 07:13:22",TRK-29947489-vmra,UPS,in_transit
250,569,"2024-09-20 17:01:50",TRK-29254263-rnAn,DHL,in_transit
251,570,"2024-09-06 20:08:30",TRK-97966828-Crwb,DHL,in_transit
252,571,"2024-11-18 19:02:48",TRK-96706695-YNME,FedEx,delivered
253,575,"2024-11-24 13:47:16",TRK-57301192-DDrv,DHL,in_transit
254,578,"2024-12-15 21:47:52",TRK-97415371-RzaH,USPS,delivered
255,579,"2025-01-08 17:42:45",TRK-13394660-kDcO,UPS,in_transit
256,582,"2025-03-19 04:52:21",TRK-45499528-msWr,USPS,delivered
257,583,"2024-12-12 13:14:56",TRK-76636856-jbxg,FedEx,in_transit
258,585,"2025-02-01 09:02:30",TRK-25838173-vpCK,DHL,in_transit
259,587,"2024-10-01 03:41:12",TRK-17824749-qaqq,USPS,in_transit
260,588,"2025-02-15 00:18:56",TRK-22314422-fKNf,UPS,in_transit
261,599,"2025-03-01 23:40:42",TRK-59334312-ANch,UPS,delivered
262,602,"2024-07-28 13:33:50",TRK-50482186-yRss,DHL,delivered
263,603,"2025-01-29 01:51:48",TRK-22401342-Bxmh,USPS,in_transit
264,606,"2024-06-29 06:54:04",TRK-14918279-Tibj,FedEx,delivered
265,607,"2025-02-11 16:34:58",TRK-40358084-jnSt,USPS,delivered
266,610,"2024-09-17 14:06:10",TRK-86819041-EoAj,DHL,delivered
267,612,"2025-01-26 04:22:30",TRK-53562362-mNMm,USPS,delivered
268,617,"2025-05-05 05:37:38",TRK-20307894-UjoZ,USPS,delivered
269,619,"2024-06-01 22:54:20",TRK-98104013-KFXt,FedEx,delivered
270,622,"2025-03-30 00:56:50",TRK-81066395-kvCs,UPS,in_transit
271,624,"2024-12-18 21:40:05",TRK-19464342-AVSY,USPS,in_transit
272,625,"2025-03-07 06:21:45",TRK-25786101-MKhn,DHL,in_transit
273,626,"2025-01-01 06:51:58",TRK-37084305-UAcr,UPS,delivered
274,627,"2024-12-30 15:39:08",TRK-54940280-OoAg,UPS,delivered
275,634,"2025-05-04 21:53:52",TRK-02197410-IpLt,FedEx,delivered
276,635,"2024-05-18 10:24:25",TRK-46965108-zbjG,FedEx,in_transit
277,636,"2024-07-22 20:33:06",TRK-43415889-NnQJ,FedEx,delivered
278,637,"2025-02-23 01:33:59",TRK-18403903-vVcO,DHL,in_transit
279,642,"2025-01-16 20:15:00",TRK-40611045-DIEC,USPS,delivered
280,643,"2025-05-05 22:41:17",TRK-34723983-HRMU,FedEx,delivered
281,644,"2024-09-17 05:49:18",TRK-30778341-aLph,UPS,delivered
282,653,"2024-09-05 12:01:36",TRK-94038812-tdch,DHL,delivered
283,654,"2025-04-20 11:05:08",TRK-32506508-bpJg,USPS,in_transit
284,659,"2024-10-25 03:50:08",TRK-88836314-KloZ,UPS,delivered
285,660,"2024-11-25 08:02:51",TRK-08977636-yLFC,FedEx,in_transit
286,661,"2025-05-02 13:09:21",TRK-33930675-czKG,UPS,delivered
287,664,"2024-07-04 21:34:45",TRK-37707034-pJit,FedEx,in_transit
288,665,"2024-06-13 17:13:12",TRK-45754168-rVxb,DHL,in_transit
289,670,"2024-06-22 04:09:58",TRK-98502148-LnTm,DHL,in_transit
290,671,"2025-05-01 19:33:14",TRK-66583007-yqtu,DHL,in_transit
291,672,"2025-01-17 19:08:45",TRK-32442052-gVyM,FedEx,delivered
292,675,"2024-08-31 21:33:16",TRK-03910801-VFBu,FedEx,in_transit
293,679,"2024-08-27 04:28:29",TRK-20299141-LruL,FedEx,in_transit
294,680,"2024-12-16 21:32:50",TRK-06405459-oVnr,USPS,delivered
295,683,"2024-06-10 15:00:21",TRK-95405492-HcPC,FedEx,in_transit
296,684,"2025-03-05 04:47:12",TRK-16415963-vrxE,UPS,in_transit
297,685,"2024-10-31 15:43:07",TRK-42331719-hKGB,USPS,delivered
298,687,"2025-04-10 12:06:45",TRK-13293126-mCBS,USPS,in_transit
299,692,"2025-02-06 07:49:53",TRK-61492801-TGmr,USPS,in_transit
300,693,"2024-09-04 18:20:08",TRK-48805540-vjcQ,USPS,in_transit
301,695,"2024-12-29 02:22:15",TRK-16905291-ToQd,DHL,in_transit
302,697,"2025-03-25 16:00:10",TRK-98156219-KUkv,DHL,delivered
303,699,"2025-03-15 11:30:32",TRK-25666670-uFsa,FedEx,in_transit
304,704,"2024-11-27 04:22:16",TRK-37361426-QOzR,USPS,in_transit
305,705,"2025-02-24 04:14:42",TRK-61086706-prnO,DHL,in_transit
306,706,"2024-09-18 16:32:31",TRK-60972708-ZXDV,UPS,in_transit
307,707,"2025-03-16 23:26:58",TRK-80981827-GpzN,UPS,in_transit
308,708,"2024-07-11 04:11:06",TRK-69519414-aLmU,DHL,in_transit
309,711,"2025-05-07 04:40:35",TRK-49788509-xkye,DHL,delivered
310,715,"2024-08-19 10:14:42",TRK-35495743-erLe,DHL,delivered
311,720,"2024-10-07 22:40:22",TRK-74994657-iyvX,USPS,delivered
312,721,"2025-04-25 15:13:02",TRK-62554310-VkvU,USPS,delivered
313,729,"2025-03-07 09:46:11",TRK-72227416-cate,FedEx,delivered
314,730,"2024-12-16 17:43:59",TRK-74342131-keQr,FedEx,delivered
315,732,"2024-09-29 23:28:20",TRK-83678527-nmSP,UPS,delivered
316,733,"2024-10-08 12:15:30",TRK-17684550-BtaR,USPS,delivered
317,735,"2024-05-30 05:04:25",TRK-90413185-faWY,USPS,in_transit
318,736,"2025-02-02 18:04:16",TRK-54657393-wZoD,FedEx,in_transit
319,738,"2025-04-21 07:39:16",TRK-43682428-IdOZ,FedEx,delivered
320,740,"2025-01-23 16:39:38",TRK-10209681-GMTD,FedEx,delivered
321,741,"2025-02-22 16:30:51",TRK-77971280-NkBQ,DHL,delivered
322,742,"2024-07-11 15:34:52",TRK-80354667-dScX,DHL,delivered
323,743,"2024-07-04 17:30:50",TRK-11933394-msDw,FedEx,in_transit
324,747,"2024-12-15 23:35:38",TRK-66797579-ePoA,UPS,in_transit
325,750,"2025-03-08 23:50:39",TRK-55857945-agJF,USPS,delivered
326,751,"2024-08-30 12:17:39",TRK-59459627-rdwc,UPS,in_transit
327,752,"2024-08-25 11:01:40",TRK-44281534-smDr,DHL,delivered
328,753,"2024-05-30 23:55:55",TRK-54754384-BoRy,UPS,in_transit
329,755,"2025-02-16 13:14:35",TRK-16109845-aGYb,DHL,in_transit
330,757,"2025-01-28 01:59:44",TRK-62441769-cDGu,USPS,in_transit
331,764,"2024-11-13 07:26:56",TRK-41239133-iMio,UPS,in_transit
332,767,"2024-06-11 09:26:07",TRK-51583874-SxCE,USPS,in_transit
333,768,"2025-02-20 07:03:55",TRK-52984369-cFGz,DHL,in_transit
334,769,"2024-12-15 05:40:59",TRK-96576803-fqRM,USPS,delivered
335,772,"2024-10-23 06:07:41",TRK-77334467-eREN,DHL,in_transit
336,776,"2024-09-11 23:41:32",TRK-75207503-XiZV,USPS,delivered
337,781,"2024-08-25 14:20:30",TRK-84129890-AubC,FedEx,in_transit
338,784,"2025-01-05 04:17:22",TRK-20065865-BWug,DHL,in_transit
339,785,"2025-03-28 06:51:07",TRK-53789891-ydbk,DHL,in_transit
340,790,"2025-04-05 03:14:51",TRK-63778703-KRlk,DHL,in_transit
341,801,"2024-11-28 04:03:00",TRK-90376267-FvEg,USPS,in_transit
342,802,"2025-02-13 20:27:19",TRK-31712714-HOUT,USPS,delivered
343,803,"2024-06-24 07:41:58",TRK-53977013-cWlB,USPS,delivered
344,805,"2025-04-01 08:22:02",TRK-98129200-CSjo,DHL,delivered
345,806,"2024-11-14 13:35:26",TRK-04971560-RDKR,UPS,delivered
346,807,"2024-08-19 05:06:51",TRK-96144766-ABEA,UPS,in_transit
347,808,"2024-12-09 23:51:16",TRK-33130348-cBii,UPS,delivered
348,810,"2024-09-25 19:25:06",TRK-05118432-aPPl,FedEx,delivered
349,811,"2024-06-11 17:14:38",TRK-82943882-TDhl,UPS,in_transit
350,814,"2024-08-21 12:20:35",TRK-54474692-oQtO,FedEx,in_transit
351,816,"2024-07-15 03:16:46",TRK-65823019-Chgz,UPS,in_transit
352,817,"2025-04-02 03:29:17",TRK-16744324-MaMT,DHL,in_transit
